Condition,stimuli,p,RT
A,S1,1,267.8455177043213
B,S1,1,-9.222768235276732
C,S1,1,-61.668685745228004
A,S2,1,906.7044161707579
B,S2,1,677.766115058179
C,S2,1,642.9313274457046
A,S3,1,820.12134578073
B,S3,1,923.8154890173357
C,S3,1,168.97712214312105
A,S4,1,726.2522827254721
B,S4,1,756.3730670670617
C,S4,1,72.54934462325923
A,S1,2,543.1573624941858
B,S1,2,79.84139225380432
C,S1,2,743.43230865541
A,S2,2,205.38525790249275
B,S2,2,236.89644216562192
C,S2,2,735.9623286803902
A,S3,2,567.2786511152703
B,S3,2,572.1347671297169
C,S3,2,1190.5205354584496
A,S4,2,354.7869512360412
B,S4,2,360.33035978984606
C,S4,2,395.74822428888785
A,S1,3,492.7334188565437
B,S1,3,129.5859820490145
C,S1,3,443.0694220492247
A,S2,3,524.9748800576588
B,S2,3,244.9777750106253
C,S2,3,861.3058539102317
A,S3,3,639.6267659293388
B,S3,3,349.9127653834246
C,S3,3,285.2036522858509
A,S4,3,468.05399699692464
B,S4,3,793.7678484795478
C,S4,3,553.7135426319313
A,S1,4,376.2875763648618
B,S1,4,-32.79843184729023
C,S1,4,387.94747054874836
A,S2,4,1900.9846500904073
B,S2,4,1151.9206299621194
C,S2,4,538.6190465860973
A,S3,4,599.0277369936567
B,S3,4,808.7189875382707
C,S3,4,146.55966274034125
A,S4,4,675.8045206264791
B,S4,4,473.48735726428686
C,S4,4,324.47373205967176
A,S1,5,360.56638339507526
B,S1,5,260.8312076356273
C,S1,5,-69.67143092048914
A,S2,5,1070.6512263138736
B,S2,5,633.5911395276871
C,S2,5,322.5127924319079
A,S3,5,530.4547357144223
B,S3,5,922.9338421383784
C,S3,5,13.749739140035302
A,S4,5,646.0824683009014
B,S4,5,704.5301926911015
C,S4,5,-50.880139375240475
A,S1,6,801.9380644441167
B,S1,6,264.46515593871266
C,S1,6,445.6137679377081
A,S2,6,311.60277289741896
B,S2,6,58.05377074616575
C,S2,6,-50.87006480393683
A,S3,6,142.561957279531
B,S3,6,409.36677244156317
C,S3,6,1003.8662026753798
A,S4,6,1349.1090034929916
B,S4,6,576.9602045169277
C,S4,6,-133.46082965991485
A,S1,7,231.45401736017902
B,S1,7,392.57881116869214
C,S1,7,-15.792912965471857
A,S2,7,911.4722275257191
B,S2,7,939.373177063814
C,S2,7,270.1970293192603
