kid_score,mom_hs,mom_iq,mom_work,mom_age
65,Completed,121.118,4,27
98,Completed,89.362,4,25
85,Completed,115.443,4,27
83,Completed,99.45,3,25
115,Completed,92.746,4,27
98,Did not complete,107.902,1,18
69,Completed,138.893,4,20
106,Completed,125.145,3,23
102,Completed,81.62,1,24
95,Completed,95.073,1,19
91,Completed,88.577,1,23
58,Completed,94.86,4,24
84,Completed,88.963,4,27
78,Completed,114.114,4,26
102,Did not complete,100.534,2,24
110,Completed,120.419,1,26
102,Completed,114.427,3,23
99,Completed,111.592,3,26
105,Completed,133.849,4,20
101,Did not complete,97.265,3,17
102,Completed,110.097,4,21
115,Completed,126.724,2,26
100,Completed,97.912,2,20
87,Completed,99.926,4,23
99,Did not complete,97.595,4,19
96,Completed,121.748,4,27
72,Completed,98.748,3,21
78,Completed,97.915,4,22
77,Completed,80.359,2,24
98,Completed,114.308,2,22
69,Completed,109.138,1,27
130,Completed,101.817,2,23
109,Completed,117.965,3,27
106,Did not complete,108.633,2,22
92,Completed,96.529,3,27
100,Completed,92.871,4,22
107,Completed,95.898,4,27
86,Completed,107.015,4,25
90,Completed,87.197,1,22
110,Completed,89.362,4,25
107,Completed,102.531,2,21
113,Completed,130.167,3,24
65,Completed,83.414,3,22
102,Completed,125.753,1,24
103,Did not complete,85.81,4,27
111,Completed,126.52,4,28
42,Completed,79.203,4,21
100,Completed,113.166,1,23
67,Completed,110.331,1,26
92,Completed,99.409,4,28
100,Completed,102.426,2,24
110,Completed,124.9,3,27
56,Completed,94.86,4,24
107,Completed,92.369,3,29
97,Completed,101.817,1,23
56,Did not complete,79.834,1,21
95,Completed,96.226,2,21
78,Did not complete,82.355,4,21
76,Did not complete,76.576,1,24
86,Completed,110.013,1,23
79,Completed,111.592,4,26
81,Completed,113.657,4,17
79,Did not complete,101.165,4,24
79,Completed,101.341,4,25
56,Completed,101.698,2,22
52,Completed,98.819,2,25
63,Completed,93.498,2,20
80,Completed,87.294,4,24
87,Completed,87.316,4,23
88,Completed,86.209,2,25
92,Completed,89.838,4,23
100,Did not complete,121.87,1,20
94,Did not complete,127.544,4,20
117,Completed,109.991,4,24
102,Completed,90.446,4,24
107,Completed,88.895,4,26
99,Completed,113.047,4,22
73,Did not complete,78.013,4,25
56,Completed,95.39,1,20
78,Did not complete,83.616,2,21
94,Did not complete,86.246,2,19
110,Completed,95.39,4,20
109,Completed,111.252,4,24
86,Completed,127.014,1,24
92,Completed,89.952,2,28
91,Completed,99.273,2,24
123,Completed,81.166,1,25
102,Completed,110.521,3,20
105,Completed,136.494,4,23
114,Completed,123.862,1,24
96,Completed,134.602,1,23
66,Completed,91.099,3,23
104,Completed,103.269,2,19
108,Completed,126.287,3,22
84,Completed,127.544,4,20
83,Did not complete,92.474,4,28
83,Completed,84.794,4,23
92,Did not complete,100.534,2,24
109,Did not complete,108.003,4,22
95,Did not complete,78.807,1,26
93,Completed,121.118,4,27
114,Completed,103.056,2,24
106,Completed,100.437,2,22
87,Completed,88.555,2,24
65,Completed,85.306,4,22
95,Completed,119.449,3,24
61,Completed,90.552,2,21
73,Completed,96.334,4,19
112,Completed,127.645,4,24
113,Completed,119.857,4,27
49,Did not complete,112.019,1,28
105,Completed,92.514,4,25
122,Completed,96.024,4,22
96,Completed,91.417,4,26
97,Completed,103.078,2,23
94,Completed,100.244,3,26
117,Completed,89.816,4,24
136,Completed,115.057,4,23
85,Did not complete,96.651,4,20
116,Completed,105.578,4,24
106,Completed,97.722,4,26
99,Completed,131.836,4,27
94,Completed,101.817,1,23
89,Completed,93.498,4,20
119,Completed,104.027,4,26
112,Completed,103.709,4,23
104,Did not complete,107.369,2,20
92,Completed,92.551,2,19
86,Completed,94.443,2,19
69,Completed,93.145,4,25
45,Completed,83.414,4,22
57,Completed,71.037,2,28
94,Completed,127.667,1,23
104,Completed,115.688,4,23
89,Did not complete,90.976,1,20
144,Completed,132.865,3,25
52,Completed,72.502,1,26
102,Completed,100.711,4,25
106,Completed,132.689,3,24
98,Completed,98.546,2,22
97,Completed,115.666,3,24
94,Completed,117.063,3,28
111,Completed,136.494,3,23
100,Completed,106.548,2,26
105,Completed,134.126,2,25
90,Completed,104.657,4,26
98,Completed,99.379,2,21
121,Completed,100.437,1,22
106,Completed,89.525,4,26
121,Completed,120.923,4,19
102,Completed,113.144,4,24
64,Completed,126.415,1,29
99,Completed,122.737,4,28
81,Completed,115.375,4,26
69,Completed,91.607,2,20
84,Completed,88.66,2,21
104,Completed,107.179,3,26
104,Completed,104.97,4,23
107,Completed,103.863,4,25
88,Completed,110.097,4,21
67,Did not complete,88.454,1,20
103,Did not complete,117.032,1,21
94,Completed,125.657,4,22
109,Completed,122.601,4,24
94,Completed,121.05,3,26
98,Completed,93.145,3,25
102,Completed,99.379,3,21
104,Completed,123.893,4,29
114,Did not complete,113.043,2,20
87,Completed,115.771,3,21
102,Completed,114.938,4,22
77,Completed,93.621,4,23
109,Completed,121.748,1,27
94,Completed,90.349,4,22
93,Did not complete,83.41,2,20
86,Completed,99.486,4,19
97,Completed,113.91,4,28
97,Completed,97.595,4,19
88,Completed,89.816,4,24
103,Completed,119.585,4,28
87,Did not complete,97.382,2,24
87,Completed,84.877,4,21
90,Completed,102.329,4,22
65,Completed,99.273,4,24
111,Did not complete,99.075,4,18
109,Completed,96.928,3,25
87,Completed,108.313,2,19
58,Completed,100.534,4,24
87,Completed,99.486,4,19
113,Completed,113.988,3,19
64,Did not complete,92.77,4,18
78,Did not complete,88.03,4,21
97,Did not complete,106.112,4,22
95,Did not complete,103.233,3,25
75,Completed,99.295,4,23
91,Did not complete,106.742,3,22
99,Completed,99.173,2,20
108,Completed,102.448,1,23
95,Completed,92.868,4,20
100,Completed,116.826,4,20
85,Completed,85.425,1,23
97,Did not complete,115.565,2,20
108,Completed,113.175,4,29
90,Completed,106.861,1,23
100,Completed,95.83,3,26
82,Did not complete,77.109,1,22
94,Completed,89.291,2,21
95,Completed,112.413,4,20
119,Completed,110.644,1,23
98,Completed,109.537,1,25
100,Did not complete,107.902,1,18
112,Completed,104.97,2,23
136,Did not complete,107.683,2,19
122,Completed,109.466,2,21
126,Completed,133.533,1,19
116,Completed,128.809,2,22
98,Completed,101.27,4,21
94,Completed,87.316,4,23
93,Completed,118.091,4,22
90,Completed,120.256,2,25
70,Completed,90.346,4,20
110,Completed,79.905,4,25
