Condition,stimuli,p,RT
Low,Stimulus 1,1,254
Low,Stimulus 1,2,368
Low,Stimulus 1,3,476
Low,Stimulus 1,4,209
Low,Stimulus 1,5,385
Low,Stimulus 1,6,394
Low,Stimulus 1,7,292
Low,Stimulus 1,8,294
Low,Stimulus 1,9,293
Low,Stimulus 1,10,271
Low,Stimulus 1,11,299
Low,Stimulus 1,12,265
Low,Stimulus 1,13,278
Low,Stimulus 1,14,346
Low,Stimulus 1,15,456
Low,Stimulus 1,16,329
Low,Stimulus 1,17,297
Low,Stimulus 1,18,270
Low,Stimulus 1,19,275
Low,Stimulus 1,20,784
Low,Stimulus 2,1,410
Low,Stimulus 2,2,340
Low,Stimulus 2,3,345
Low,Stimulus 2,4,456
Low,Stimulus 2,5,322
Low,Stimulus 2,6,268
Low,Stimulus 2,7,474
Low,Stimulus 2,8,296
Low,Stimulus 2,9,391
Low,Stimulus 2,10,302
Low,Stimulus 2,11,572
Low,Stimulus 2,12,342
Low,Stimulus 2,13,321
Low,Stimulus 2,14,339
Low,Stimulus 2,15,258
Low,Stimulus 2,16,286
Low,Stimulus 2,17,232
Low,Stimulus 2,18,274
Low,Stimulus 2,19,360
Low,Stimulus 2,20,343
Low,Stimulus 3,1,652
Low,Stimulus 3,2,292
Low,Stimulus 3,3,309
Low,Stimulus 3,4,361
Low,Stimulus 3,5,298
Low,Stimulus 3,6,300
Low,Stimulus 3,7,290
Low,Stimulus 3,8,280
Low,Stimulus 3,9,337
Low,Stimulus 3,10,340
Low,Stimulus 3,11,249
Low,Stimulus 3,12,332
Low,Stimulus 3,13,290
Low,Stimulus 3,14,296
Low,Stimulus 3,15,374
Low,Stimulus 3,16,472
Low,Stimulus 3,17,704
Low,Stimulus 3,18,315
Low,Stimulus 3,19,693
Low,Stimulus 3,20,286
Low,Stimulus 4,1,488
Low,Stimulus 4,2,1020
Low,Stimulus 4,3,389
Low,Stimulus 4,4,324
Low,Stimulus 4,5,392
Low,Stimulus 4,6,741
Low,Stimulus 4,7,288
Low,Stimulus 4,8,632
Low,Stimulus 4,9,623
Low,Stimulus 4,10,438
Low,Stimulus 4,11,394
Low,Stimulus 4,12,344
Low,Stimulus 4,13,352
Low,Stimulus 4,14,486
Low,Stimulus 4,15,835
Low,Stimulus 4,16,375
Low,Stimulus 4,17,271
Low,Stimulus 4,18,319
Low,Stimulus 4,19,427
Low,Stimulus 4,20,357
Med,Stimulus 1,1,341
Med,Stimulus 1,2,342
Med,Stimulus 1,3,255
Med,Stimulus 1,4,342
Med,Stimulus 1,5,470
Med,Stimulus 1,6,447
Med,Stimulus 1,7,426
Med,Stimulus 1,8,321
Med,Stimulus 1,9,340
Med,Stimulus 1,10,265
Med,Stimulus 1,11,354
Med,Stimulus 1,12,388
Med,Stimulus 1,13,641
Med,Stimulus 1,14,495
Med,Stimulus 1,15,313
Med,Stimulus 1,16,400
Med,Stimulus 1,17,269
Med,Stimulus 1,18,475
Med,Stimulus 1,19,490
Med,Stimulus 1,20,754
Med,Stimulus 2,1,481
Med,Stimulus 2,2,362
Med,Stimulus 2,3,428
Med,Stimulus 2,4,359
Med,Stimulus 2,5,328
Med,Stimulus 2,6,442
Med,Stimulus 2,7,322
Med,Stimulus 2,8,442
Med,Stimulus 2,9,471
Med,Stimulus 2,10,412
Med,Stimulus 2,11,394
Med,Stimulus 2,12,344
Med,Stimulus 2,13,304
Med,Stimulus 2,14,561
Med,Stimulus 2,15,422
Med,Stimulus 2,16,557
Med,Stimulus 2,17,294
Med,Stimulus 2,18,442
Med,Stimulus 2,19,526
Med,Stimulus 2,20,415
Med,Stimulus 3,1,394
Med,Stimulus 3,2,332
Med,Stimulus 3,3,902
Med,Stimulus 3,4,541
Med,Stimulus 3,5,819
Med,Stimulus 3,6,430
Med,Stimulus 3,7,346
Med,Stimulus 3,8,276
Med,Stimulus 3,9,346
Med,Stimulus 3,10,451
Med,Stimulus 3,11,596
Med,Stimulus 3,12,455
Med,Stimulus 3,13,300
Med,Stimulus 3,14,525
Med,Stimulus 3,15,268
Med,Stimulus 3,16,374
Med,Stimulus 3,17,379
Med,Stimulus 3,18,251
Med,Stimulus 3,19,576
Med,Stimulus 3,20,347
Med,Stimulus 4,1,377
Med,Stimulus 4,2,690
Med,Stimulus 4,3,519
Med,Stimulus 4,4,405
Med,Stimulus 4,5,497
Med,Stimulus 4,6,478
Med,Stimulus 4,7,767
Med,Stimulus 4,8,458
Med,Stimulus 4,9,496
Med,Stimulus 4,10,470
Med,Stimulus 4,11,373
Med,Stimulus 4,12,432
Med,Stimulus 4,13,760
Med,Stimulus 4,14,323
Med,Stimulus 4,15,436
Med,Stimulus 4,16,681
Med,Stimulus 4,17,389
Med,Stimulus 4,18,309
Med,Stimulus 4,19,324
Med,Stimulus 4,20,371
High,Stimulus 1,1,301
High,Stimulus 1,2,353
High,Stimulus 1,3,338
High,Stimulus 1,4,361
High,Stimulus 1,5,433
High,Stimulus 1,6,466
High,Stimulus 1,7,685
High,Stimulus 1,8,373
High,Stimulus 1,9,347
High,Stimulus 1,10,633
High,Stimulus 1,11,692
High,Stimulus 1,12,386
High,Stimulus 1,13,346
High,Stimulus 1,14,243
High,Stimulus 1,15,618
High,Stimulus 1,16,302
High,Stimulus 1,17,282
High,Stimulus 1,18,1209
High,Stimulus 1,19,410
High,Stimulus 1,20,377
High,Stimulus 2,1,226
High,Stimulus 2,2,433
High,Stimulus 2,3,634
High,Stimulus 2,4,515
High,Stimulus 2,5,619
High,Stimulus 2,6,951
High,Stimulus 2,7,683
High,Stimulus 2,8,380
High,Stimulus 2,9,572
High,Stimulus 2,10,419
High,Stimulus 2,11,377
High,Stimulus 2,12,221
High,Stimulus 2,13,350
High,Stimulus 2,14,529
High,Stimulus 2,15,1028
High,Stimulus 2,16,531
High,Stimulus 2,17,555
High,Stimulus 2,18,333
High,Stimulus 2,19,472
High,Stimulus 2,20,255
High,Stimulus 3,1,529
High,Stimulus 3,2,571
High,Stimulus 3,3,476
High,Stimulus 3,4,572
High,Stimulus 3,5,497
High,Stimulus 3,6,584
High,Stimulus 3,7,896
High,Stimulus 3,8,668
High,Stimulus 3,9,452
High,Stimulus 3,10,320
High,Stimulus 3,11,516
High,Stimulus 3,12,393
High,Stimulus 3,13,777
High,Stimulus 3,14,283
High,Stimulus 3,15,391
High,Stimulus 3,16,517
High,Stimulus 3,17,425
High,Stimulus 3,18,369
High,Stimulus 3,19,405
High,Stimulus 3,20,557
High,Stimulus 4,1,615
High,Stimulus 4,2,563
High,Stimulus 4,3,1076
High,Stimulus 4,4,684
High,Stimulus 4,5,493
High,Stimulus 4,6,364
High,Stimulus 4,7,1428
High,Stimulus 4,8,567
High,Stimulus 4,9,361
High,Stimulus 4,10,476
High,Stimulus 4,11,403
High,Stimulus 4,12,409
High,Stimulus 4,13,336
High,Stimulus 4,14,465
High,Stimulus 4,15,498
High,Stimulus 4,16,323
High,Stimulus 4,17,209
High,Stimulus 4,18,411
High,Stimulus 4,19,451
High,Stimulus 4,20,550
