Condition,stimuli,p,RT
Low,Stimulus 1,1,-10.728290804908085
Med,Stimulus 1,1,313.6829804494978
High,Stimulus 1,1,556.6156324888166
Low,Stimulus 2,1,-80.6265931524629
Med,Stimulus 2,1,560.3667345910135
High,Stimulus 2,1,586.0361000228185
Low,Stimulus 3,1,264.4697487435261
Med,Stimulus 3,1,271.76747315203426
High,Stimulus 3,1,267.13421840610965
Low,Stimulus 4,1,186.50667542343228
Med,Stimulus 4,1,290.03985349106676
High,Stimulus 4,1,161.36798430015438
Low,Stimulus 1,2,67.07654247308977
Med,Stimulus 1,2,257.3931997621075
High,Stimulus 1,2,515.9351414318418
Low,Stimulus 2,2,392.3522157325964
Med,Stimulus 2,2,281.09785399889824
High,Stimulus 2,2,181.5313501533949
Low,Stimulus 3,2,199.07932712011365
Med,Stimulus 3,2,1359.8558994933608
High,Stimulus 3,2,465.87373347381686
Low,Stimulus 4,2,286.46204636432736
Med,Stimulus 4,2,299.82260569609025
High,Stimulus 4,2,570.4808406559827
Low,Stimulus 1,3,83.50741788815196
Med,Stimulus 1,3,-48.44492876856131
High,Stimulus 1,3,397.7308306604757
Low,Stimulus 2,3,155.6266405204775
Med,Stimulus 2,3,420.4667599437105
High,Stimulus 2,3,175.75141187452851
Low,Stimulus 3,3,799.4314195530073
Med,Stimulus 3,3,290.4648722993361
High,Stimulus 3,3,230.28697475197492
Low,Stimulus 4,3,283.6679289807756
Med,Stimulus 4,3,31.813998392204695
High,Stimulus 4,3,123.79427205542561
Low,Stimulus 1,4,-137.27736817948855
Med,Stimulus 1,4,-32.1928257238967
High,Stimulus 1,4,169.9558671025615
Low,Stimulus 2,4,293.0449165317996
Med,Stimulus 2,4,935.486298817068
High,Stimulus 2,4,145.5190846486803
Low,Stimulus 3,4,194.7299615181082
Med,Stimulus 3,4,343.6480731049579
High,Stimulus 3,4,162.2916158550966
Low,Stimulus 4,4,168.2144240596191
Med,Stimulus 4,4,136.94607107866568
High,Stimulus 4,4,105.83310599052635
Low,Stimulus 1,5,118.8735663518923
Med,Stimulus 1,5,124.68076645008477
High,Stimulus 1,5,-96.69691629444854
Low,Stimulus 2,5,262.57446834890607
Med,Stimulus 2,5,136.60001584177485
High,Stimulus 2,5,157.59672085803123
Low,Stimulus 3,5,377.255540664695
Med,Stimulus 3,5,605.3298924892844
High,Stimulus 3,5,1017.0961290982445
Low,Stimulus 4,5,214.5246914766072
Med,Stimulus 4,5,999.6149351552258
High,Stimulus 4,5,125.91617848378962
Low,Stimulus 1,6,421.9801958256844
Med,Stimulus 1,6,1117.2505470504768
High,Stimulus 1,6,232.28388001860827
Low,Stimulus 2,6,240.25265481780474
Med,Stimulus 2,6,422.7206552498468
High,Stimulus 2,6,1071.8143833330241
Low,Stimulus 3,6,130.0890717895324
Med,Stimulus 3,6,902.702396766663
High,Stimulus 3,6,887.5081684186812
Low,Stimulus 4,6,530.0175411184391
Med,Stimulus 4,6,427.06956193657174
High,Stimulus 4,6,295.82764232349666
Low,Stimulus 1,7,153.4722014770664
Med,Stimulus 1,7,419.49813206057377
High,Stimulus 1,7,917.0050288693326
Low,Stimulus 2,7,379.82759488601494
Med,Stimulus 2,7,77.41548442318401
High,Stimulus 2,7,226.77400804092565
Low,Stimulus 3,7,504.8796976110856
Med,Stimulus 3,7,333.5012188773196
High,Stimulus 3,7,372.8009463863774
Low,Stimulus 4,7,375.04210444560033
Med,Stimulus 4,7,81.10508301229817
High,Stimulus 4,7,373.9511201774086
Low,Stimulus 1,8,481.28274487253543
Med,Stimulus 1,8,434.31708026583567
High,Stimulus 1,8,390.4892275784176
Low,Stimulus 2,8,310.01935695143914
Med,Stimulus 2,8,368.8433630803587
High,Stimulus 2,8,118.00992290456242
Low,Stimulus 3,8,409.15408533736945
Med,Stimulus 3,8,503.90330026002346
High,Stimulus 3,8,1041.5604771559724
Low,Stimulus 4,8,761.5630123167806
Med,Stimulus 4,8,285.1666732627405
High,Stimulus 4,8,536.2160655930027
Low,Stimulus 1,9,1.4228478777317264
Med,Stimulus 1,9,490.07201196609515
High,Stimulus 1,9,520.2514341747806
Low,Stimulus 2,9,1223.304091502525
Med,Stimulus 2,9,555.5429316923219
High,Stimulus 2,9,290.6973325891536
Low,Stimulus 3,9,444.9548331949459
Med,Stimulus 3,9,283.34608646662065
High,Stimulus 3,9,201.76227583502703
Low,Stimulus 4,9,476.10065902978226
Med,Stimulus 4,9,185.0390622158481
High,Stimulus 4,9,476.4739239830801
Low,Stimulus 1,10,334.988090563548
Med,Stimulus 1,10,227.9672485038239
High,Stimulus 1,10,193.00652957671758
Low,Stimulus 2,10,245.44557004645617
Med,Stimulus 2,10,136.40682966429114
High,Stimulus 2,10,705.7478609631512
Low,Stimulus 3,10,431.72676079541725
Med,Stimulus 3,10,699.2107953185892
High,Stimulus 3,10,107.45072584883377
Low,Stimulus 4,10,476.73644155767613
Med,Stimulus 4,10,643.2633956494485
High,Stimulus 4,10,417.14194319197566
Low,Stimulus 1,11,194.08788816252684
Med,Stimulus 1,11,65.9691331811552
High,Stimulus 1,11,912.153928559884
Low,Stimulus 2,11,670.4275234695538
Med,Stimulus 2,11,1092.0609842102585
High,Stimulus 2,11,449.2486359883404
Low,Stimulus 3,11,249.9296076116533
Med,Stimulus 3,11,53.455037622349494
High,Stimulus 3,11,248.73647849831616
Low,Stimulus 4,11,494.7341055591286
Med,Stimulus 4,11,766.0995565793528
High,Stimulus 4,11,503.1248152278404
Low,Stimulus 1,12,-4.886312309001056
Med,Stimulus 1,12,425.61444950259727
High,Stimulus 1,12,-76.80344415450652
Low,Stimulus 2,12,320.0628487726841
Med,Stimulus 2,12,333.7620100717479
High,Stimulus 2,12,-22.829958403890515
Low,Stimulus 3,12,731.4914671195629
Med,Stimulus 3,12,252.10540638978785
High,Stimulus 3,12,328.80590240825734
Low,Stimulus 4,12,913.6161228719614
Med,Stimulus 4,12,630.5950783158695
High,Stimulus 4,12,392.893758487725
Low,Stimulus 1,13,379.9704990870449
Med,Stimulus 1,13,347.3555425720548
High,Stimulus 1,13,759.5831210838531
Low,Stimulus 2,13,510.5082392007562
Med,Stimulus 2,13,586.1090178466516
High,Stimulus 2,13,533.6141180194898
Low,Stimulus 3,13,316.9518024878938
Med,Stimulus 3,13,454.6289030775697
High,Stimulus 3,13,1013.3008179654635
Low,Stimulus 4,13,189.9220962539962
Med,Stimulus 4,13,462.06171749400016
High,Stimulus 4,13,900.433595993198
Low,Stimulus 1,14,183.8571800549136
Med,Stimulus 1,14,15.493684640864473
High,Stimulus 1,14,49.049378122538485
Low,Stimulus 2,14,313.44105867928795
Med,Stimulus 2,14,196.64305533270522
High,Stimulus 2,14,349.2537665078821
Low,Stimulus 3,14,306.85686104559403
Med,Stimulus 3,14,371.291034087816
High,Stimulus 3,14,553.0818373697568
Low,Stimulus 4,14,626.4359340751574
Med,Stimulus 4,14,1029.8512057667392
High,Stimulus 4,14,404.56178137994664
Low,Stimulus 1,15,163.8541189941016
Med,Stimulus 1,15,689.5923222015842
High,Stimulus 1,15,775.0616013191452
Low,Stimulus 2,15,438.04053295149265
Med,Stimulus 2,15,329.18659637097596
High,Stimulus 2,15,-2.131116256160084
Low,Stimulus 3,15,920.078535716229
Med,Stimulus 3,15,198.98086579641
High,Stimulus 3,15,133.33350313182325
Low,Stimulus 4,15,1671.652153525454
Med,Stimulus 4,15,497.4948530271481
High,Stimulus 4,15,415.06223783128837
Low,Stimulus 1,16,-178.77847300651229
Med,Stimulus 1,16,216.2112655281391
High,Stimulus 1,16,521.2549633131663
Low,Stimulus 2,16,555.3270238856892
Med,Stimulus 2,16,728.6605906393722
High,Stimulus 2,16,1161.7866241904717
Low,Stimulus 3,16,824.9378840354971
Med,Stimulus 3,16,281.6961760061633
High,Stimulus 3,16,654.1053635944277
Low,Stimulus 4,16,366.89240249120405
Med,Stimulus 4,16,274.00148959318363
High,Stimulus 4,16,-138.13472665994874
Low,Stimulus 1,17,64.45651067597458
Med,Stimulus 1,17,372.49596031932424
High,Stimulus 1,17,956.5573432857968
Low,Stimulus 2,17,584.2334077679479
Med,Stimulus 2,17,624.9108461825859
High,Stimulus 2,17,168.81592136839583
Low,Stimulus 3,17,474.7488483821088
Med,Stimulus 3,17,-42.984696467849915
High,Stimulus 3,17,579.0440685971665
Low,Stimulus 4,17,651.508155877656
Med,Stimulus 4,17,481.8931295384157
High,Stimulus 4,17,652.8970432164011
Low,Stimulus 1,18,323.040841513249
Med,Stimulus 1,18,453.4554233588045
High,Stimulus 1,18,827.5090335046684
Low,Stimulus 2,18,803.2534916411635
Med,Stimulus 2,18,434.8375968787409
High,Stimulus 2,18,135.3771843857557
Low,Stimulus 3,18,556.7091510583898
Med,Stimulus 3,18,310.69620562465207
High,Stimulus 3,18,953.3467100976197
Low,Stimulus 4,18,35.85324734530195
Med,Stimulus 4,18,306.49704726367145
High,Stimulus 4,18,558.0137903795882
Low,Stimulus 1,19,203.59125594789242
Med,Stimulus 1,19,101.47700923671476
High,Stimulus 1,19,167.55306809578792
Low,Stimulus 2,19,628.1281952034205
Med,Stimulus 2,19,722.3995775563969
High,Stimulus 2,19,638.7554954378697
Low,Stimulus 3,19,1293.1192395731096
Med,Stimulus 3,19,826.6247476967856
High,Stimulus 3,19,514.2928864537262
Low,Stimulus 4,19,242.73964861484336
Med,Stimulus 4,19,1607.511686914863
High,Stimulus 4,19,644.7447534999262
Low,Stimulus 1,20,85.40986928006947
Med,Stimulus 1,20,289.24805963027217
High,Stimulus 1,20,163.04120476047092
Low,Stimulus 2,20,345.3053812026559
Med,Stimulus 2,20,176.32042335116756
High,Stimulus 2,20,460.54510554304136
Low,Stimulus 3,20,524.4151488800563
Med,Stimulus 3,20,143.53685611972338
High,Stimulus 3,20,-168.62782215042563
Low,Stimulus 4,20,350.8762033920075
Med,Stimulus 4,20,433.8867159794919
High,Stimulus 4,20,615.9959397025937
