uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
60120734ec,2020-11-27T14:21:20Z,2020-11-27T14:22:47Z,Agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree
d0a92dec4b,2020-11-26T11:15:36Z,2020-11-26T11:16:37Z,Somewhat agree,Agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Disagree
10eb3ee84d,2020-11-27T09:14:42Z,2020-11-27T09:18:33Z,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
382eb4881a,2020-11-27T14:20:08Z,2020-11-27T14:22:10Z,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
371af06767,2020-11-27T14:24:28Z,2020-11-27T14:27:05Z,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Agree,Disagree,Agree
3d112ce80d,2020-11-27T02:06:07Z,2020-11-27T02:06:53Z,Disagree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree
694d608e96,2020-11-27T11:11:28Z,2020-11-27T11:12:57Z,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree
4a40175756,2020-11-27T14:20:20Z,2020-11-27T14:20:58Z,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree
de2cc7f322,2020-11-27T14:19:42Z,2020-11-27T14:22:50Z,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree
b3e6fe9098,2020-11-26T11:12:04Z,2020-11-26T11:14:49Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree
3d66d6122d,2020-11-26T15:22:21Z,2020-11-26T15:23:19Z,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree
89e475a1e2,2020-11-26T11:19:57Z,2020-11-26T11:23:06Z,Strongly agree,Somewhat agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree
b43f2f9149,2020-11-26T11:14:14Z,2020-11-26T11:15:43Z,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Somewhat agree
ee6a502316,2020-11-26T11:20:26Z,2020-11-26T11:21:10Z,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Strongly agree
cc8082ca43,2020-11-26T14:13:29Z,2020-11-26T14:15:01Z,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Agree
5a75e35a9e,2020-11-26T11:07:38Z,2020-11-26T11:10:50Z,Strongly agree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
1497ffd89f,2020-11-27T11:13:17Z,2020-11-27T11:14:47Z,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly agree
abe35ed396,2020-11-26T11:17:10Z,2020-11-26T11:17:52Z,Agree,Disagree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Strongly agree
880f9af842,2020-11-26T09:20:30Z,2020-11-26T09:21:16Z,Disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree
01ab2f96e7,2020-11-27T14:13:54Z,2020-11-27T14:16:41Z,Agree,Disagree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Strongly agree
a958509686,2020-11-27T09:18:04Z,2020-11-27T09:19:15Z,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree
b6d4021303,2020-11-26T13:26:36Z,2020-11-26T13:28:07Z,Strongly disagree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
c61ef74d08,2020-11-27T11:12:13Z,2020-11-27T11:12:54Z,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree
1f6128ed75,2020-11-26T11:09:59Z,2020-11-26T11:10:47Z,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree
fe8954f04f,2020-11-27T09:15:03Z,2020-11-27T09:15:57Z,Neither agree nor disagree,Agree,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree
b5674bb470,2020-11-26T09:11:53Z,2020-11-26T09:12:46Z,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
ec4c85788b,2020-11-27T11:17:52Z,2020-11-27T11:19:57Z,Neither agree nor disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree
ffb0b16cbe,2020-11-27T09:51:32Z,2020-11-27T09:53:17Z,Agree,Somewhat disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Strongly agree
5a8f333321,2020-11-27T14:16:01Z,2020-11-27T14:18:23Z,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
72f7717b51,2020-11-27T09:13:54Z,2020-11-27T09:19:26Z,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Agree
83b7a9c75e,2020-11-27T14:14:23Z,2020-11-27T14:14:52Z,Strongly disagree,Agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Agree,Somewhat agree
7aa074c54a,2020-11-26T11:18:17Z,2020-11-26T11:19:23Z,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
0ceae554d5,2020-11-26T14:12:38Z,2020-11-26T14:14:07Z,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Strongly disagree,Strongly disagree
22ab7f269c,2020-11-27T14:14:31Z,2020-11-27T14:17:39Z,Agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree
